Date,Last Price,Volume,SMAVG (15)
2023-10-04 17:00:00,112.46,643437,820123

2023-10-04 16:30:00,112.27,778358,809017

2023-10-04 16:00:00,112.28,765978,797078

2023-10-04 15:30:00,111.69,1418743,817650

2023-10-04 15:00:00,111.99,1476477,807021

2023-10-04 14:30:00,113.60,1540369,815046

2023-10-03 20:30:00,115.78,1669736,757904

2023-10-03 20:00:00,115.98,620130,678247

2023-10-03 19:30:00,115.75,432261,666869

2023-10-03 19:00:00,115.5101,539721,659749

2023-10-03 18:30:00,115.56,398735,644937

2023-10-03 18:00:00,115.965,407151,646346

2023-10-03 17:30:00,115.765,483686,647367

2023-10-03 17:00:00,116.18,618522,654858

2023-10-03 16:30:00,115.185,508542,660404

2023-10-03 16:00:00,115.27,476844,683888

2023-10-03 15:30:00,115.13,599272,725186

2023-10-03 15:00:00,115.76,1074554,772001

2023-10-03 14:30:00,115.99,1259309,855042

2023-10-02 20:30:00,115.63,1596852,816565

2023-10-02 20:00:00,115.36,683251,746479

2023-10-02 19:30:00,114.85,474869,735319

2023-10-02 19:00:00,115.14,449459,739860

2023-10-02 18:30:00,115.175,325465,748851

2023-10-02 18:00:00,115.38,317546,764736

2023-10-02 17:30:00,115.115,419866,772373

2023-10-02 17:00:00,115.225,422469,780198

2023-10-02 16:30:00,115.00,596046,805281

2023-10-02 16:00:00,115.06,701714,837284

2023-10-02 15:30:00,115.03,860798,862553

2023-10-02 15:00:00,114.86,1096320,912138

2023-10-02 14:30:00,115.73,1301504,937113

2023-09-29 20:30:00,117.62,2320161,901412

2023-09-29 20:00:00,117.48,682152,785341

2023-09-29 19:30:00,117.52,545563,776164

2023-09-29 19:00:00,117.02,515851,779601

2023-09-29 18:30:00,116.81,542991,779057

2023-09-29 18:00:00,117.32,584318,775970

2023-09-29 17:30:00,117.515,563745,784934

2023-09-29 17:00:00,117.70,432104,795865

2023-09-29 16:30:00,117.25,537235,807669

2023-09-29 16:00:00,117.55,798710,836316

2023-09-29 15:30:00,117.25,1076090,839052

2023-09-29 15:00:00,117.205,1080756,876445

2023-09-29 14:30:00,118.21,1604570,1122703

2023-09-28 20:30:00,119.45,1470939,1182706

2023-09-28 20:00:00,119.448,765994,1200965

2023-09-28 19:30:00,119.155,579102,1216761

2023-09-28 19:00:00,118.73,544489,1217524

2023-09-28 18:30:00,118.345,597121,1230489

2023-09-28 18:00:00,118.41,507696,1220953

2023-09-28 17:30:00,118.90,496687,1220363

2023-09-28 17:00:00,119.169,718778,1228656

2023-09-28 16:30:00,119.105,727698,1241552

2023-09-28 16:00:00,119.705,609177,1244446

2023-09-28 15:30:00,119.1397,966940,1262454

2023-09-28 15:00:00,119.89,839738,1274295

2023-09-28 14:30:00,119.98,1636991,1294281

2023-09-27 20:30:00,120.21,4774622,1216534

2023-09-27 20:00:00,119.85,2504610,925605

2023-09-27 19:30:00,119.79,1744834,790377

2023-09-27 19:00:00,119.11,1002933,698630

2023-09-27 18:30:00,118.7164,590544,657985

2023-09-27 18:00:00,118.44,738960,648001

2023-09-27 17:30:00,118.85,454081,626712

2023-09-27 17:00:00,118.71,498846,626093

2023-09-27 16:30:00,118.84,621085,622644

2023-09-27 16:00:00,118.72,912213,619402

2023-09-27 15:30:00,118.395,771113,617625

2023-09-27 15:00:00,118.21,879295,635249

2023-09-27 14:30:00,117.97,1144562,652865

2023-09-26 20:30:00,116.41,1139531,610836

2023-09-26 20:00:00,116.07,470773,557839

2023-09-26 19:30:00,116.225,410689,558498

2023-09-26 19:00:00,116.22,476198,554387

2023-09-26 18:30:00,116.595,368629,549810

2023-09-26 18:00:00,116.44,393257,551890

2023-09-26 17:30:00,116.69,440786,558827

2023-09-26 17:00:00,116.44,419620,560250

2023-09-26 16:30:00,116.37,444791,568310

2023-09-26 16:00:00,115.895,447116,568851

2023-09-26 15:30:00,115.87,572457,578710

2023-09-26 15:00:00,115.74,885555,606007

2023-09-26 14:30:00,116.50,1035476,662361

2023-09-25 20:30:00,116.25,1143541,634087

2023-09-25 20:00:00,116.07,514116,582767

2023-09-25 19:30:00,116.11,344588,576919

2023-09-25 19:00:00,116.03,480656,580621

2023-09-25 18:30:00,116.47,349020,588726

2023-09-25 18:00:00,116.315,407541,601091

2023-09-25 17:30:00,116.33,399827,610408

2023-09-25 17:00:00,116.4815,497311,608148

2023-09-25 16:30:00,116.03,462139,611586

2023-09-25 16:00:00,115.85,540519,614035

2023-09-25 15:30:00,115.5142,452908,620042

2023-09-25 15:00:00,115.53,594998,679086

2023-09-25 14:30:00,115.5901,981909,776123

2023-09-22 20:30:00,114.97,1730860,764916

2023-09-22 20:00:00,115.56,611365,687345

2023-09-22 19:30:00,115.23,373749,670991

2023-09-22 19:00:00,115.185,426396,665283

2023-09-22 18:30:00,115.17,400119,674265

2023-09-22 18:00:00,115.14,602226,669530

2023-09-22 17:30:00,115.465,534493,665324

2023-09-22 17:00:00,115.42,547302,656006

2023-09-22 16:30:00,115.58,365929,648048

2023-09-22 16:00:00,115.96,548872,676577

2023-09-22 15:30:00,115.99,498883,693956

2023-09-22 15:00:00,116.28,630619,762823

2023-09-22 14:30:00,116.12,1338571,795653

2023-09-21 20:30:00,114.76,2050545,739682

2023-09-21 20:00:00,114.645,813816,639536

2023-09-21 19:30:00,115.21,567288,621210

2023-09-21 19:00:00,115.385,366057,607884

2023-09-21 18:30:00,115.855,288130,601038

